content,cleaning,case_folding,tokenization,normalization,stopword_removed,stemming,polarity_score,polarity,final,new_polarity
""" Jenis vaksin menyesuaikan stok "" Bagus ni g ditulis menggunakan vaksin astrazeneca, menghindari orang pilih clan vaksin", Jenis vaksin menyesuaikan stok Bagus ni g ditulis menggunakan vaksin astrazeneca menghindari orang pilih clan vaksin, jenis vaksin menyesuaikan stok bagus ni g ditulis menggunakan vaksin astrazeneca menghindari orang pilih clan vaksin,"['jenis', 'vaksin', 'menyesuaikan', 'stok', 'bagus', 'ni', 'g', 'ditulis', 'menggunakan', 'vaksin', 'astrazeneca', 'menghindari', 'orang', 'pilih', 'clan', 'vaksin']","['jenis', 'vaksin', 'menyesuaikan', 'stok', 'bagus', 'nih', 'tidak', 'ditulis', 'menggunakan', 'vaksin', 'astrazeneca', 'menghindari', 'orang', 'pilih', 'klan', 'vaksin']","['jenis', 'vaksin', 'menyesuaikan', 'stok', 'bagus', 'ditulis', 'vaksin', 'astrazeneca', 'menghindari', 'orang', 'pilih', 'klan', 'vaksin']","['jenis', 'vaksin', 'sesuai', 'stok', 'bagus', 'tulis', 'vaksin', 'astrazeneca', 'hindar', 'orang', 'pilih', 'klan', 'vaksin']",-4,negative,jenis vaksin sesuai stok bagus tulis vaksin astrazeneca hindar orang pilih klan vaksin,1
"""Mau Sinovac, Sinopharm, AstraZeneca, itu sudah mendapat EUA dari WHO. Artinya standarnya sesuai WHO. Dan vaksin itu ketersediaannya terbatas. Ketika kita dapat kesempatan, yuk segera disuntik!""
", Mau Sinovac Sinopharm AstraZeneca itu sudah mendapat EUA dari WHO Artinya standarnya sesuai WHO Dan vaksin itu ketersediaannya terbatas Ketika kita dapat kesempatan yuk segera disuntik , mau sinovac sinopharm astrazeneca itu sudah mendapat eua dari who artinya standarnya sesuai who dan vaksin itu ketersediaannya terbatas ketika kita dapat kesempatan yuk segera disuntik ,"['mau', 'sinovac', 'sinopharm', 'astrazeneca', 'itu', 'sudah', 'mendapat', 'eua', 'dari', 'who', 'artinya', 'standarnya', 'sesuai', 'who', 'dan', 'vaksin', 'itu', 'ketersediaannya', 'terbatas', 'ketika', 'kita', 'dapat', 'kesempatan', 'yuk', 'segera', 'disuntik']","['mau', 'sinovac', 'sinopharm', 'astrazeneca', 'itu', 'sudah', 'mendapat', 'eua', 'dari', 'who', 'artinya', 'standarnya', 'sesuai', 'who', 'dan', 'vaksin', 'itu', 'ketersediaannya', 'terbatas', 'ketika', 'kita', 'dapat', 'kesempatan', 'yuk', 'segera', 'disuntik']","['sinovac', 'sinopharm', 'astrazeneca', 'eua', 'who', 'standarnya', 'sesuai', 'who', 'vaksin', 'ketersediaannya', 'terbatas', 'kesempatan', 'yuk', 'disuntik']","['sinovac', 'sinopharm', 'astrazeneca', 'eua', 'who', 'standar', 'sesuai', 'who', 'vaksin', 'sedia', 'batas', 'sempat', 'yuk', 'suntik']",4,positive,sinovac sinopharm astrazeneca eua who standar sesuai who vaksin sedia batas sempat yuk suntik,0
"""nyesel deh vaksin gue sinovac, bukan astrazeneca. Ga efektif""", nyesel deh vaksin gue sinovac bukan astrazeneca Ga efektif , nyesel deh vaksin gue sinovac bukan astrazeneca ga efektif ,"['nyesel', 'deh', 'vaksin', 'gue', 'sinovac', 'bukan', 'astrazeneca', 'ga', 'efektif']","['menyesal', 'deh', 'vaksin', 'gue', 'sinovac', 'bukan', 'astrazeneca', 'tidak', 'efektif']","['menyesal', 'deh', 'vaksin', 'gue', 'sinovac', 'astrazeneca', 'efektif']","['sesal', 'deh', 'vaksin', 'gue', 'sinovac', 'astrazeneca', 'efektif']",2,positive,sesal deh vaksin gue sinovac astrazeneca efektif,0
"Jadi, vaksin Astrazeneca tidak bisa menyebabkan infeksi adenovirus maupun Covid. KODE GENETIK UNTUK REPLIKASINYA DIBUANG.",Jadi vaksin Astrazeneca tidak bisa menyebabkan infeksi adenovirus maupun Covid KODE GENETIK UNTUK REPLIKASINYA DIBUANG ,jadi vaksin astrazeneca tidak bisa menyebabkan infeksi adenovirus maupun covid kode genetik untuk replikasinya dibuang ,"['jadi', 'vaksin', 'astrazeneca', 'tidak', 'bisa', 'menyebabkan', 'infeksi', 'adenovirus', 'maupun', 'covid', 'kode', 'genetik', 'untuk', 'replikasinya', 'dibuang']","['jadi', 'vaksin', 'astrazeneca', 'tidak', 'bisa', 'menyebabkan', 'infeksi', 'adenovirus', 'maupun', 'covid', 'kode', 'genetik', 'untuk', 'replikasinya', 'dibuang']","['vaksin', 'astrazeneca', 'menyebabkan', 'infeksi', 'adenovirus', 'covid', 'kode', 'genetik', 'replikasinya', 'dibuang']","['vaksin', 'astrazeneca', 'sebab', 'infeksi', 'adenovirus', 'covid', 'kode', 'genetik', 'replikasinya', 'buang']",-5,negative,vaksin astrazeneca sebab infeksi adenovirus covid kode genetik replikasinya buang,1
"#DNJ

Sejak Desember 2020, Indonesia terus mengamankan dosis vaksin covid-19.

Udah pada Vaksin belum Hard Rockers? https://t.co/jxGJLOHSZ8", DNJ Sejak Desember Indonesia terus mengamankan dosis vaksin covid Udah pada Vaksin belum Hard Rockers , dnj sejak desember indonesia terus mengamankan dosis vaksin covid udah pada vaksin belum hard rockers ,"['dnj', 'sejak', 'desember', 'indonesia', 'terus', 'mengamankan', 'dosis', 'vaksin', 'covid', 'udah', 'pada', 'vaksin', 'belum', 'hard', 'rockers']","['dnj', 'sejak', 'desember', 'indonesia', 'terus', 'mengamankan', 'dosis', 'vaksin', 'covid', 'sudah', 'pada', 'vaksin', 'belum', 'hard', 'rockers']","['dnj', 'desember', 'indonesia', 'mengamankan', 'dosis', 'vaksin', 'covid', 'vaksin', 'hard', 'rockers']","['dnj', 'desember', 'indonesia', 'aman', 'dosis', 'vaksin', 'covid', 'vaksin', 'hard', 'rockers']",4,positive,dnj desember indonesia aman dosis vaksin covid vaksin hard rockers,0
" bener mbak, vaksin nggak bikin kita kebal , tetep jaga prokes, jaga nutrisi makan insyaAllah terhindar.
soal bagusan vaksin mana antar sinoVac, Astrazeneca, pFizer dll, belum tau sih, dapat jatah sinovac ya disyukuri", bener mbak vaksin nggak bikin kita kebal tetep jaga prokes jaga nutrisi makan insyaAllah terhindar soal bagusan vaksin mana antar sinoVac Astrazeneca pFizer dll belum tau sih dapat jatah sinovac ya disyukuri, bener mbak vaksin nggak bikin kita kebal tetep jaga prokes jaga nutrisi makan insyaallah terhindar soal bagusan vaksin mana antar sinovac astrazeneca pfizer dll belum tau sih dapat jatah sinovac ya disyukuri,"['bener', 'mbak', 'vaksin', 'nggak', 'bikin', 'kita', 'kebal', 'tetep', 'jaga', 'prokes', 'jaga', 'nutrisi', 'makan', 'insyaallah', 'terhindar', 'soal', 'bagusan', 'vaksin', 'mana', 'antar', 'sinovac', 'astrazeneca', 'pfizer', 'dll', 'belum', 'tau', 'sih', 'dapat', 'jatah', 'sinovac', 'ya', 'disyukuri']","['benar', 'mbak', 'vaksin', 'tidak', 'bikin', 'kita', 'kebal', 'tetap', 'jaga', 'prokes', 'jaga', 'nutrisi', 'makan', 'insyaallah', 'terhindar', 'soal', 'bagusan', 'vaksin', 'mana', 'antar', 'sinovac', 'astrazeneca', 'pfizer', 'dan lain lain', 'belum', 'tau', 'sih', 'dapat', 'jatah', 'sinovac', 'ya', 'disyukuri']","['mbak', 'vaksin', 'kebal', 'jaga', 'prokes', 'jaga', 'nutrisi', 'makan', 'insyaallah', 'terhindar', 'bagusan', 'vaksin', 'sinovac', 'astrazeneca', 'pfizer', 'dan lain lain', 'jatah', 'sinovac', 'disyukuri']","['mbak', 'vaksin', 'kebal', 'jaga', 'prokes', 'jaga', 'nutrisi', 'makan', 'insyaallah', 'hindar', 'bagus', 'vaksin', 'sinovac', 'astrazeneca', 'pfizer', 'dan lain lain', 'jatah', 'sinovac', 'syukur']",5,positive,mbak vaksin kebal jaga prokes jaga nutrisi makan insyaallah hindar bagus vaksin sinovac astrazeneca pfizer dan lain lain jatah sinovac syukur,0
Paham bgt ada orang2 yg bener2 ga memungkinkan vaksin astrazeneca maka gue tetep mengupayakan vaksin buat tetep mengupayakan vaksin buat jagain yg gabisa vaksin.,Paham bgt ada orang yg bener ga memungkinkan vaksin astrazeneca maka gue tetep mengupayakan vaksin buat tetep mengupayakan vaksin buat jagain yg gabisa vaksin ,paham bgt ada orang yg bener ga memungkinkan vaksin astrazeneca maka gue tetep mengupayakan vaksin buat tetep mengupayakan vaksin buat jagain yg gabisa vaksin ,"['paham', 'bgt', 'ada', 'orang', 'yg', 'bener', 'ga', 'memungkinkan', 'vaksin', 'astrazeneca', 'maka', 'gue', 'tetep', 'mengupayakan', 'vaksin', 'buat', 'tetep', 'mengupayakan', 'vaksin', 'buat', 'jagain', 'yg', 'gabisa', 'vaksin']","['paham', 'banget', 'ada', 'orang', 'yang', 'benar', 'tidak', 'memungkinkan', 'vaksin', 'astrazeneca', 'maka', 'gue', 'tetap', 'mengupayakan', 'vaksin', 'buat', 'tetap', 'mengupayakan', 'vaksin', 'buat', 'jagakan', 'yang', 'tidak bisa', 'vaksin']","['paham', 'banget', 'orang', 'vaksin', 'astrazeneca', 'gue', 'mengupayakan', 'vaksin', 'mengupayakan', 'vaksin', 'jagakan', 'tidak bisa', 'vaksin']","['paham', 'banget', 'orang', 'vaksin', 'astrazeneca', 'gue', 'upaya', 'vaksin', 'upaya', 'vaksin', 'jaga', 'tidak bisa', 'vaksin']",-6,negative,paham banget orang vaksin astrazeneca gue upaya vaksin upaya vaksin jaga tidak bisa vaksin,1
"Nah iya nih, Moderna juga katanya lebih cocok buat bumil. ini temen2 ibu menyusui sudah banyak yang vaksin sinovac astrazeneca. Rata2 komentarnya aman dan bagus",Nah iya nih Moderna juga katanya lebih cocok buat bumil ini temen ibu menyusui sudah banyak yang vaksin sinovac astrazeneca Rata komentarnya aman dan bagus,nah iya nih moderna juga katanya lebih cocok buat bumil ini temen ibu menyusui sudah banyak yang vaksin sinovac astrazeneca rata komentarnya aman dan bagus,"['nah', 'iya', 'nih', 'moderna', 'juga', 'katanya', 'lebih', 'cocok', 'buat', 'bumil', 'ini', 'temen', 'ibu', 'menyusui', 'sudah', 'banyak', 'yang', 'vaksin', 'sinovac', 'astrazeneca', 'rata', 'komentarnya', 'aman', 'dan', 'bagus']","['nah', 'iya', 'nih', 'moderna', 'juga', 'katanya', 'lebih', 'cocok', 'buat', 'ibu hamil', 'ini', 'teman', 'ibu', 'menyusui', 'sudah', 'banyak', 'yang', 'vaksin', 'sinovac', 'astrazeneca', 'rata', 'komentarnya', 'aman', 'dan', 'bagus']","['iya', 'moderna', 'cocok', 'ibu hamil', 'teman', 'menyusui', 'vaksin', 'sinovac', 'astrazeneca', 'komentarnya', 'aman', 'bagus']","['iya', 'moderna', 'cocok', 'ibu hamil', 'teman', 'susu', 'vaksin', 'sinovac', 'astrazeneca', 'komentar', 'aman', 'bagus']",-1,negative,iya moderna cocok ibu hamil teman susu vaksin sinovac astrazeneca komentar aman bagus,1
Ya puji Tuhan aku vaksin AstraZeneca,Ya puji Tuhan aku vaksin AstraZeneca,ya puji tuhan aku vaksin astrazeneca,"['ya', 'puji', 'tuhan', 'aku', 'vaksin', 'astrazeneca']","['ya', 'puji', 'tuhan', 'aku', 'vaksin', 'astrazeneca']","['puji', 'tuhan', 'vaksin', 'astrazeneca']","['puji', 'tuhan', 'vaksin', 'astrazeneca']",7,positive,puji tuhan vaksin astrazeneca,0
"Sama seperti vaksin...
Semua ada takarannya...

Ayolah Please lebih dewasa
Apa bedanya astrazeneca ama obat diatas?",Sama seperti vaksin Semua ada takarannya Ayolah Please lebih dewasa Apa bedanya astrazeneca ama obat diatas ,sama seperti vaksin semua ada takarannya ayolah please lebih dewasa apa bedanya astrazeneca ama obat diatas ,"['sama', 'seperti', 'vaksin', 'semua', 'ada', 'takarannya', 'ayolah', 'please', 'lebih', 'dewasa', 'apa', 'bedanya', 'astrazeneca', 'ama', 'obat', 'diatas']","['sama', 'seperti', 'vaksin', 'semua', 'ada', 'takarannya', 'ayolah', 'please', 'lebih', 'dewasa', 'apa', 'bedanya', 'astrazeneca', 'sama', 'obat', 'di atas']","['vaksin', 'takarannya', 'ayolah', 'please', 'dewasa', 'bedanya', 'astrazeneca', 'obat', 'di atas']","['vaksin', 'takar', 'ayo', 'please', 'dewasa', 'beda', 'astrazeneca', 'obat', 'di atas']",1,positive,vaksin takar ayo please dewasa beda astrazeneca obat di atas,0
